file,lines,tool,run_index,real_time_sec,user_time_sec,sys_time_sec,perf_instructions,perf_cycles,perf_cachemiss,perf_branchmiss,output_size_bytes
big_32x.s,71,as+objcopy,8,0.99,0.92,0.05,6082227363,2731804312,6469715,6107549,2355200
big_32x.s,71,as+objcopy,9,0.97,0.92,0.04,6067302926,2722847414,6561364,5675688,2355200
big_32x.s,71,as+objcopy,10,0.97,0.90,0.06,6067302904,2694810031,6543934,5664517,2355200
big_64x.s,71,libchata,1,1.24,1.17,0.06,6961625688,3450390472,1262487,143660,3891200
big_64x.s,71,libchata,2,1.20,1.16,0.03,6961625898,3446915077,1143406,108226,3891200
big_64x.s,71,libchata,3,1.22,1.16,0.05,6961625683,3444112965,1197176,118153,3891200
big_64x.s,71,libchata,4,1.20,1.17,0.02,6961625690,3452003735,1195838,164488,3891200
big_64x.s,71,libchata,5,1.21,1.16,0.04,6961625905,3444020329,1120917,108934,3891200
big_64x.s,71,libchata,6,1.19,1.16,0.02,6961625681,3444547116,1188170,106999,3891200
big_64x.s,71,libchata,7,1.21,1.16,0.04,6961625906,3444395743,1173715,115392,3891200
big_64x.s,71,libchata,8,1.19,1.16,0.02,6961625907,3444804375,1187589,103225,3891200
big_64x.s,71,libchata,9,1.21,1.16,0.04,6961625680,3444177242,1110405,112989,3891200
big_64x.s,71,libchata,10,1.21,1.18,0.02,6961625699,3483105148,1160920,129596,3891200
big_64x.s,71,as+objcopy,1,1.92,1.82,0.09,12130689259,5366938493,13884493,11152069,4710400
big_64x.s,71,as+objcopy,2,1.92,1.79,0.11,12130690614,5325540522,13979369,11523191,4710400
big_64x.s,71,as+objcopy,3,1.97,1.78,0.17,12160540399,5366920404,14044391,11199963,4710400
big_64x.s,71,as+objcopy,4,1.96,1.78,0.16,12130690541,5307803124,13939693,11522298,4710400
big_64x.s,71,as+objcopy,5,1.99,1.83,0.15,12130690732,5455868768,13992541,11474465,4710400
big_64x.s,71,as+objcopy,6,1.98,1.83,0.14,12130690680,5311000176,13807338,12647424,4710400
big_64x.s,71,as+objcopy,7,1.91,1.80,0.10,12176821919,5310096825,13947552,11318700,4710400
big_64x.s,71,as+objcopy,8,2.03,1.85,0.17,12130690730,5526057627,13985158,12530482,4710400
big_64x.s,71,as+objcopy,9,1.96,1.81,0.14,12130690668,5404871398,14147645,11609311,4710400
big_64x.s,71,as+objcopy,10,1.89,1.78,0.10,12130690663,5327929583,14306554,11201544,4710400
